symbol,name,yahoo,stockanalysis,has_listing
SASML,Sindh Abadgar's Sugar Mills Limited,SASML.KA,SASML,1
SAZEW,Sazgar Engineering Works Limited,SAZEW.KA,SAZEW,1
SBL,Samba Bank Limited,SBL.KA,SBL,1
SCBPL,Standard Chartered Bank (Pak) Ltd,SCBPL.KA,SCBPL,1
SCL,Shield Corporation Limited,SCL.KA,SCL,0
SEARL,The Searle Company Limited,SEARL.KA,SEARL,1
SEL,Sitara Energy Limited,SEL.KA,SEL,1
SEPL,Security Papers Limited,SEPL.KA,SEPL,1
SERT,Service Industries Textiles Limited,SERT.KA,SERT,1
SFL,Sapphire Fibres Limited,SFL.KA,SFL,1
SGABL,SG.Allied Businesses Limited,SGABL.KA,SGABL,1
SGF,Service GlobalFootwear Limited,SGF.KA,SGF,1
SGPL,S.G. Power Limited,SGPL.KA,SGPL,1
SHCM,Shadman Cotton Mills Limited,SHCM.KA,SHCM,1
SHDT,Shadab Textile Mills Limited,SHDT.KA,SHDT,1
SHEZ,Shezan International Limited,SHEZ.KA,SHEZ,1
SHFA,Shifa International Hospitals Limited,SHFA.KA,SHFA,1
SHJS,Shahtaj Sugar Mills Limited,SHJS.KA,SHJS,1
SHNI,Shaheen Insurance Company Limited,SHNI.KA,SHNI,1
SHSML,Shahmurad Sugar Mills Limited,SHSML.KA,SHSML,1
SIBL,Security Investment Bank Limited,SIBL.KA,SIBL,1
SIEM,Siemens (Pakistan) Engineering,SIEM.KA,SIEM,1
SINDM,Sindh Modaraba,SINDM.KA,SINDM,1
SITC,Sitara Chemical Industries Limited,SITC.KA,SITC,1
SKRS,Sakrand Sugar Mills Limited,SKRS.KA,SKRS,1
SLGL,Secure Logistics-Trax Group Limited,SLGL.KA,SLGL,1
SLL,SME Leasing Limited,SLL.KA,SLL,1
SLYT,Sally Textile Mills Limited,SLYT.KA,SLYT,1
SMCPL,Safe Mix Concrete Limited,SMCPL.KA,SMCPL,1
SML,Shakarganj Limited,SML.KA,SML,1
SNAI,Sana Industries Limited,SNAI.KA,SNAI,1
SNBL,Soneri Bank Limited,SNBL.KA,SNBL,1
