provider_symbol,symbol,sector,industry,source
9600.SR,9600,Healthcare,Pharmaceutical Retailers,
9601.SR,9601,Basic Materials,Other Industrial Metals & Mining,
9602.SR,9602,Financial Services,Asset Management,
9603.SR,9603,Consumer Defensive,Education & Training Services,
9605.SR,9605,Basic Materials,Specialty Chemicals,
9606.SR,9606,Industrials,Consulting Services,
9607.SR,9607,Basic Materials,Specialty Chemicals,
9608.SR,9608,Industrials,Integrated Freight & Logistics,
9609.SR,9609,Energy,Oil & Gas E&P,
9610.SR,9610,Real Estate,Real Estate—Development,
9611.SR,9611,Basic Materials,Building Materials,
9612.SR,9612,Consumer Defensive,Beverages—Non-Alcoholic,
9613.SR,9613,Industrials,Specialty Business Services,
9614.SR,9614,Technology,Information Technology Services,
9615.SR,9615,Communication Services,Entertainment,
9617.SR,9617,Consumer Cyclical,Restaurants,
9618.SR,9618,Consumer Cyclical,Apparel Retail,
9619.SR,9619,Industrials,Engineering & Construction,
9620.SR,9620,Healthcare,Medical Devices,
9621.SR,9621,Industrials,Consulting Services,
9622.SR,9622,Consumer Defensive,Packaged Foods,
9623.SR,9623,Basic Materials,Specialty Chemicals,
9624.SR,9624,Consumer Cyclical,Auto Parts,
9625.SR,9625,Industrials,Consulting Services,
9626.SR,9626,Healthcare,Medical Care Facilities,
9627.SR,9627,Healthcare,Medical Care Facilities,
9628.SR,9628,Consumer Defensive,Household & Personal Products,
9630.SR,9630,Consumer Cyclical,Restaurants,
9632.SR,9632,Consumer Defensive,Education & Training Services,
9633.SR,9633,Industrials,Specialty Industrial Machinery,
9634.SR,9634,Real Estate,Real Estate Services,
9635.SR,9635,Consumer Defensive,Household & Personal Products,
9636.SR,9636,Industrials,Specialty Business Services,
9637.SR,9637,Technology,Information Technology Services,
9640.SR,9640,Real Estate,Real Estate Services,
9641.SR,9641,Real Estate,Real Estate Services,
9642.SR,9642,Communication Services,Entertainment,
9644.SR,9644,Basic Materials,Agricultural Inputs,
9645.SR,9645,Industrials,Electrical Equipment & Parts,
9647.SR,9647,Healthcare,Medical Distribution,
9648.SR,9648,Real Estate,Real Estate—Development,
9649.SR,9649,Consumer Cyclical,Apparel Manufacturing,
9651.SR,9651,Consumer Defensive,Household & Personal Products,
9653.SR,9653,Industrials,Integrated Freight & Logistics,
