provider_symbol,symbol,sector,industry,source
DSM.AX,DSM,Basic Materials,Gold,
DTL.AX,DTL,Technology,Information Technology Services,
DTM.AX,DTM,Basic Materials,Other Industrial Metals & Mining,
DTR.AX,DTR,Basic Materials,Gold,
DTZ.AX,DTZ,Basic Materials,Specialty Chemicals,
DUB.AX,DUB,Technology,Software—Application,
DUG.AX,DUG,Technology,Information Technology Services,
DUR.AX,DUR,Industrials,Engineering & Construction,
DVL.AX,DVL,Technology,Scientific & Technical Instruments,
DVP.AX,DVP,Basic Materials,Other Industrial Metals & Mining,
DWG.AX,DWG,Technology,Software—Infrastructure,
DXB.AX,DXB,Healthcare,Biotechnology,
DXC.AX,DXC,Real Estate,REIT—Retail,
DXI.AX,DXI,Real Estate,REIT—Industrial,
DXN.AX,DXN,Technology,Information Technology Services,
DXS.AX,DXS,Real Estate,REIT—Office,
DYL.AX,DYL,Energy,Uranium,
DYM.AX,DYM,Basic Materials,Other Industrial Metals & Mining,
E25.AX,E25,Basic Materials,Other Industrial Metals & Mining,
E79.AX,E79,Basic Materials,Gold,
EAX.AX,EAX,Industrials,Specialty Business Services,
EBR.AX,EBR,Healthcare,Medical Devices,
ECH.AX,ECH,Energy,Oil & Gas E&P,
ECL.AX,ECL,Industrials,Electrical Equipment & Parts,
ECP.AX,ECP,Financial Services,Asset Management,
ECS.AX,ECS,Healthcare,Drug Manufacturers—Specialty & Generic,
EDE.AX,EDE,Industrials,Specialty Industrial Machinery,
EDU.AX,EDU,Consumer Defensive,Education & Training Services,
EDV.AX,EDV,Consumer Defensive,Beverages—Wineries & Distilleries,
EE1.AX,EE1,Basic Materials,,
EFE.AX,EFE,Basic Materials,Other Industrial Metals & Mining,
EFR.AX,EFR,Basic Materials,Gold,
EGG.AX,EGG,Communication Services,Advertising Agencies,
EGH.AX,EGH,Real Estate,Real Estate Services,
EGL.AX,EGL,Industrials,Pollution & Treatment Controls,
EGY.AX,EGY,Industrials,Electrical Equipment & Parts,
EHL.AX,EHL,Industrials,Rental & Leasing Services,
EIQ.AX,EIQ,Healthcare,Health Information Services,
EL8.AX,EL8,Energy,Uranium,
ELD.AX,ELD,Consumer Defensive,Farm Products,
ELS.AX,ELS,Technology,Communication Equipment,
ELT.AX,ELT,Basic Materials,Other Industrial Metals & Mining,
ELV.AX,ELV,Basic Materials,Other Industrial Metals & Mining,
EM2.AX,EM2,Basic Materials,Other Industrial Metals & Mining,
EM3.AX,EM3,Basic Materials,Gold,
EMA.AX,EMA,Basic Materials,Other Industrial Metals & Mining,
EMB.AX,EMB,Industrials,Building Products & Equipment,
EMC.AX,EMC,Basic Materials,Other Industrial Metals & Mining,
EMD.AX,EMD,Healthcare,Health Information Services,
EME.AX,EME,Energy,Uranium,
EMH.AX,EMH,Basic Materials,Other Industrial Metals & Mining,
EML.AX,EML,Technology,Software—Infrastructure,
EMP.AX,EMP,Energy,Oil & Gas E&P,
EMR.AX,EMR,Basic Materials,Gold,
EMT.AX,EMT,Basic Materials,Other Industrial Metals & Mining,
EMU.AX,EMU,Basic Materials,Other Industrial Metals & Mining,
EMV.AX,EMV,Healthcare,Medical Devices,
ENL.AX,ENL,Healthcare,Health Information Services,
