provider_symbol,symbol,name,region,market_code,sector,industry
SHAIVAL.NS,SHAIVAL,Shaival Reality Limited,india,NSE,,
SHANTHALA.NS,SHANTHALA,Shanthala FMCG Products Limited,india,NSE,,
SHBAJRG.NS,SHBAJRG,Shri Bajrang Alliance Limited,india,NSE,,
SHEETAL.NS,SHEETAL,Sheetal Universal Limited,india,NSE,,
SHERA.NS,SHERA,Shera Energy Limited,india,NSE,,
SHIGAN.NS,SHIGAN,Shigan Quantum Technologies Limited,india,NSE,,
SHINDL.NS,SHINDL,Sharat Industries Limited,india,NSE,,
SHREEKARNI.NS,SHREEKARNI,Shree Karni Fabcom Limited,india,NSE,,
SHREEOSFM.NS,SHREEOSFM,Shree OSFM E-Mobility Limited,india,NSE,,
SHRIKRISH.NS,SHRIKRISH,Shri Krishna Devcon Limited,india,NSE,,
SHRITECH.NS,SHRITECH,Shri Techtex Limited,india,NSE,,
SHUBHLAXMI.NS,SHUBHLAXMI,Shubhlaxmi Jewel Art Limited,india,NSE,,
SIDDHIKA.NS,SIDDHIKA,Siddhika Coatings Limited,india,NSE,,
SIGNORIA.NS,SIGNORIA,Signoria Creation Limited,india,NSE,,
SIKA.NS,SIKA,Sika Interplant Systems Limited,india,NSE,,
SILKFLEX.NS,SILKFLEX,Silkflex Polymers (India) Limited,india,NSE,,
SINGERIND.NS,SINGERIND,Singer India Limited,india,NSE,,
SJLOGISTIC.NS,SJLOGISTIC,S J Logistics (India) Limited,india,NSE,,
SKP.NS,SKP,SKP Bearing Industries Limited,india,NSE,,
SLONE.NS,SLONE,Slone Infosystems Limited,india,NSE,,
SMVD.NS,SMVD,SMVD Poly Pack Limited,india,NSE,,
SONAMAC.NS,SONAMAC,Sona Machinery Limited,india,NSE,,
SONUINFRA.NS,SONUINFRA,Sonu Infratech Limited,india,NSE,,
SOTAC.NS,SOTAC,Sotac Pharmaceuticals Limited,india,NSE,,
SPCL.NS,SPCL,Shivalic Power Control Limited,india,NSE,,
SPECTSTM.NS,SPECTSTM,Spectrum Talent Management Limited,india,NSE,,
SPRL.NS,SPRL,SP Refractories Limited,india,NSE,,
SRIVASAVI.NS,SRIVASAVI,Srivasavi Adhesive Tapes Limited,india,NSE,,
SSFL.NS,SSFL,Srivari Spices and Foods Limited,india,NSE,,
SUNREST.NS,SUNREST,Sunrest Lifescience Limited,india,NSE,,
SUPREMEPWR.NS,SUPREMEPWR,Supreme Power Equipment Limited,india,NSE,,
SURANI.NS,SURANI,Surani Steel Tubes Limited,india,NSE,,
SURYALA.NS,SURYALA,Suryalata Spinning Mills Limited,india,NSE,,
SUULD.NS,SUULD,Suumaya Industries Limited,india,NSE,,
SWARAJ.NS,SWARAJ,Swaraj Suiting Limited,india,NSE,,
SWASTIK.NS,SWASTIK,Swastik Pipe Limited,india,NSE,,
SYLVANPLY.NS,SYLVANPLY,Sylvan Plyboard (India) Limited,india,NSE,,
SYNOPTICS.NS,SYNOPTICS,Synoptics Technologies Limited,india,NSE,,
SYSTANGO.NS,SYSTANGO,Systango Technologies Limited,india,NSE,,
TAALTECH.NS,TAALTECH,Taal Tech Limited,india,NSE,,
TAC.NS,TAC,TAC Infosec Limited,india,NSE,,
TAMBOLIIN.NS,TAMBOLIIN,Tamboli Industries Limited,india,NSE,,
TAPIFRUIT.NS,TAPIFRUIT,Tapi Fruit Processing Limited,india,NSE,,
TBI.NS,TBI,TBI Corn Limited,india,NSE,,
TCC.NS,TCC,TCC Concept Limited,india,NSE,,
TCL.NS,TCL,Thaai Casting Limited,india,NSE,,
TECHIN.NS,TECHIN,Techindia Nirman Limited,india,NSE,,
TECHLABS.NS,TECHLABS,Trident Techlabs Limited,india,NSE,,
TECHNVISN.NS,TECHNVISN,TechNVision Ventures Limited,india,NSE,,
TGL.NS,TGL,Teerth Gopicon Limited,india,NSE,,
THACKER.NS,THACKER,Thacker and Company Limited,india,NSE,,
